SERVIÇO,tipo_servico,categoria
ACM fachada,Fachada & Revestimento,Reforma/Manutenção
Adequação de acessibilidade,Acessibilidade,Adequação
Adequação de sinalização,Sinalização,Adequação
Alteração de layout,Civil,Obra/Adequação
Atendimento Emergencial,Emergencial,Atendimento
Atendimento emergencial,Emergencial,Atendimento
Aumento de parede,Civil,Obra/Adequação
Desentupimento,Hidráulica,Manutenção
Escada Marinheiro,Civil,Obra/Adequação
Execução de tubulação AF,Hidráulica,Manutenção
Infiltração,Hidráulica,Manutenção
Instalação De Cantoneira,Civil,Obra/Adequação
Instalação de Gradil,Portas & Acessos,Manutenção
Instalação de dobradiças,Portas & Acessos,Manutenção
Instalação de fechaduras,Portas & Acessos,Manutenção
Laudo técnico,Laudos,Técnico
Manutenção em coberta,Coberta/Telhado,Manutenção/Reforma
Manutenção predial,,
Mola Aérea,Portas & Acessos,Manutenção
Moldes de Elevador,Civil,Obra/Adequação
PORTA AUTOMATICA,Portas & Acessos,Manutenção
Pintura,Pintura,Manutenção
Pintura de fachada,Pintura,Manutenção
Pintura de unidade educacional,Pintura,Manutenção
Pintura e serviço em coberta,Pintura,Manutenção
Pintura interna,Pintura,Manutenção
Pintura área de vendas,Pintura,Manutenção
Porta de Enrolar,Portas & Acessos,Manutenção
Reforma da coberta,Coberta/Telhado,Manutenção/Reforma
Reforma externa,Civil,Obra/Adequação
Reforma na coberta,Coberta/Telhado,Manutenção/Reforma
Reforma tehado,Coberta/Telhado,Manutenção/Reforma
Reforço em portão,,
Regularização de piso,,
Remanejamento,,
Reparo em Calçada,,
Reparo em gavetas,,
Reparo em porta,Portas & Acessos,Manutenção
Restauração de Gradil,Portas & Acessos,Manutenção
Retirada de Pia,,
Retirada de hidrometro,,
Serviço de elétrica,,
Tampa Cegas,,
Troca de Forro,,
Troca de Piso,,
Vigilância Sanitária,,
Vitrine,,
